image,xmin,ymin,xmax,ymax,class
e0000000030.jpg,194,255,204,269,1
e0000000095.jpg,104,267,213,340,1
g0000000142.jpg,186,229,202,248,1
f0000000029.jpg,129,229,143,240,1
a0000000191.jpg,279,279,284,287,1
c0000000118.jpg,206,273,241,314,1
c0000000197.jpg,26,245,35,283,3
f0000000126.jpg,243,227,251,238,1
f0000000187.jpg,256,226,261,234,1
b0000000031.jpg,398,279,427,295,1
b0000000078.jpg,51,269,80,293,1
f0000000066.jpg,258,229,262,236,1
g0000000147.jpg,323,223,412,331,1
a0000000185.jpg,347,280,357,288,1
f0000000140.jpg,157,230,171,238,1
g0000000030.jpg,316,237,379,305,1
a0000000049.jpg,177,278,184,285,1
c0000000051.jpg,297,227,336,380,2
d0000000100.jpg,132,252,148,316,2
g0000000059.jpg,342,240,444,338,1
d0000000177.jpg,166,258,186,304,2
e0000000089.jpg,215,253,226,266,1
e0000000171.jpg,4,267,37,300,1
g0000000002.jpg,319,240,387,312,1
g0000000074.jpg,270,218,301,260,1
e0000000028.jpg,1,267,39,304,1
c0000000008.jpg,60,249,69,283,3
a0000000002.jpg,177,278,186,286,1
f0000000158.jpg,262,230,267,236,1
d0000000182.jpg,86,277,98,287,1
g0000000151.jpg,333,224,445,352,1
c0000000119.jpg,79,248,88,284,3
b0000000051.jpg,398,278,427,295,1
g0000000169.jpg,191,227,201,248,1
c0000000018.jpg,60,249,69,283,3
a0000000191.jpg,227,277,233,286,1
g0000000086.jpg,187,236,196,255,1
g0000000106.jpg,200,228,210,245,1
a0000000173.jpg,131,277,137,285,1
g0000000084.jpg,96,239,148,291,1
a0000000187.jpg,411,277,440,296,1
f0000000137.jpg,244,231,252,242,1
e0000000146.jpg,36,263,83,296,1
c0000000159.jpg,60,247,69,282,3
a0000000112.jpg,271,278,277,288,1
g0000000065.jpg,192,232,204,247,1
f0000000165.jpg,233,230,238,237,1
g0000000099.jpg,263,232,278,252,1
f0000000052.jpg,31,229,56,246,1
g0000000179.jpg,155,232,169,265,1
f0000000143.jpg,35,232,113,295,1
g0000000194.jpg,2,243,96,336,1
g0000000046.jpg,175,220,192,245,1
g0000000123.jpg,311,210,416,316,1
a0000000123.jpg,410,278,439,295,1
d0000000007.jpg,205,231,229,326,3
g0000000095.jpg,132,224,171,266,1
f0000000040.jpg,94,229,110,242,1
e0000000151.jpg,72,263,104,288,1
a0000000005.jpg,99,276,107,284,1
d0000000112.jpg,133,253,147,313,2
g0000000086.jpg,278,219,316,269,1
g0000000012.jpg,343,244,446,347,1
e0000000019.jpg,236,259,365,326,1
e0000000131.jpg,392,246,405,305,3
